PublishedLineName,DirectionRef,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,StopPoints,StopPointCount
B1,0,MACKENZIE LOOP (no G-A-R: use 300000),40.578247,-73.939743,BAY RIDGE 4 AV,40.621841,-74.028366,"['AV X/MC DONALD AV', 'ORIENTAL BL/HASTINGS ST', '5 AV/86 ST', '86 ST/11 AV', '86 ST/STILLWELL AV', 'BRIGHTON BEACH AV/CORBIN PL', '86 ST/20 AV', 'BRIGHTON BEACH AV/BRIGHTON 14 ST', '86 ST/NEW UTRECHT AV', '87 ST/4 Av', 'ORIENTAL BL/DOVER ST', '86 ST/12 AV', '86 ST/AV U', '86 ST/19 AV', '86 ST/FT HAMILTON PY', 'OCEAN PY/NEPTUNE AV', 'BRIGHTON BEACH AV/CONEY ISLAND AV', 'ORIENTAL BL/BEAUMONT ST', 'ORIENTAL BL/MACKENZIE ST', '86 ST/13 AV', '86 ST/18 AV', 'AV X/E 2 ST', '86 ST/W 9 ST', 'OCEAN PY/SHORE PY', 'BRIGHTON BEACH AV/OCEAN PY', '86 ST/25 AV', 'ORIENTAL BL/FALMOUTH ST', 'BRIGHTON BEACH AV/BRIGHTON 1 PL', 'BRIGHTON BEACH AV/BRIGHTON 3 ST', 'AV X/OCEAN PY', '86 ST/VAN SICKLEN ST', 'ORIENTAL BL/JAFFRAY ST', 'MACKENZIE LOOP (no G-A-R: use 300000)', '86 ST/W 7 ST', '86 ST/17 AV', 'OCEAN PY/OCEAN VIEW AV', '86 ST/23 AV', '87 ST/4 AV', '86 ST/7 AV', '86 ST/15 AV', 'ORIENTAL BL/WEST END AV', '86 ST/W 11 ST', '86 ST/24 AV', '86 ST/14 AV', 'AV X/WEST ST', 'AV X/W 2 ST', 'BRIGHTON BEACH AV/BRIGHTON 12 ST', 'BRIGHTON BEACH AV/BRIGHTON 5 ST', '86 ST/BAY PY', 'OCEAN PY/WEST AV', '86 ST/21 AV']",51
B1,1,87 ST/4 Av,40.621925,-74.028496,MANHATTAN BEACH KINGSBORO CC,40.578094,-73.94017,"['AV X/E 1 ST', 'ORIENTAL BL/OCEAN AV', 'ORIENTAL BL/HASTINGS ST', 'BRIGHTON BEACH AV/BRIGHTON 6 ST', '86 ST/11 AV', '86 ST/STILLWELL AV', 'AV X/SHELL RD', 'BRIGHTON BEACH AV/BRIGHTON 14 ST', '86 ST/20 AV', 'BRIGHTON BEACH AV/CORBIN PL', '87 ST/4 Av', 'ORIENTAL BL/DOVER ST', '86 ST/W 8 ST', '86 ST/12 AV', '86 ST/AV U', '86 ST/19 AV', '86 ST/FT HAMILTON PY', 'OCEAN PY/NEPTUNE AV', 'ORIENTAL BL/BEAUMONT ST', 'ORIENTAL BL/KENSINGTON ST', 'ORIENTAL BL/MACKENZIE ST', '86 ST/13 AV', '86 ST/18 AV', 'BRIGHTON BEACH/CONEY ISLAND AV', 'BRIGHTON BEACH AV/OCEAN PY', '86 ST/5 AV', '86 ST/25 AV', '86 ST/AV V', 'BRIGHTON BEACH AV/BRIGHTON 1 PL', 'BRIGHTON BEACH AV/BRIGHTON 3 ST', 'AV X/OCEAN PY', 'MACKENZIE LOOP (no G-A-R: use 300000)', '86 ST/17 AV', 'AV X/W 1 ST', '86 ST/23 AV', 'OCEAN PY/OCEAN VIEW AV', 'AV X/E 3 ST', '86 ST/AV W', '86 ST/7 AV', '86 ST/15 AV', 'ORIENTAL BL/WEST END AV', '86 ST/4 AV', '86 ST/24 AV', '86 ST/DAHLGREN PL', '86 ST/14 AV', 'OCEAN PKY/SHORE PKY', 'BRIGHTON BEACH AV/BRIGHTON 12 ST', '86 ST/BAY PY', 'OCEAN PY/WEST AV', '86 ST/16 AV', '86 ST/21 AV']",51
B100,0,,,,MILL BASIN E. 66 ST,,,"['FILLMORE AV / E 37 ST', 'NATIONAL DR / E 66 ST', 'E 66 ST / BASSETT AV', 'NATIONAL DR / MILL AV', 'FILLMORE AV / STUART ST', 'E 66 ST / 56 DR', 'AV U/E 66 ST', 'QUENTIN RD / NOSTRAND AV', 'GERRITSEN AV / HARING ST', 'FILLMORE AV / E 55 ST', 'FILLMORE AV / E 34 ST', 'FILLMORE AV / RYDER ST', 'FILLMORE AV / E 51 ST', 'AV T / MILL AV', 'FILLMORE AV / E 32 ST', 'AV T / E 59 ST', 'FILLMORE AV / FLATBUSH AV', 'FILLMORE AV / COLEMAN ST', 'E 66 ST / STRICKLAND AV', 'FILLMORE AV / MARINE PKY', 'FILLMORE AV / E 57 ST', 'AV U/E 64 ST', 'QUENTIN RD / BEDFORD AV', 'E 16 ST / KINGS HWY', 'FLATLANDS AV/WILLIAMS AV', 'FILLMORE AV / E 53 ST', 'E 66 ST / MAYFAIR DR N', 'E 66 ST / MAYFAIR DR S']",28
B100,1,,,,MIDWOOD KINGS HWY STA,,,"['56 DR / STRICKLAND AV', 'FILLMORE AV / E 37 ST', 'E 66 ST / BASSETT AV', 'NATIONAL DR / MILL AV', 'MILL AV/AV U', 'AV U/E 66 ST', 'QUENTIN RD / NOSTRAND AV', 'FILLMORE AV / E 55 ST', 'FILLMORE AV / E 34 ST', 'AV T / E 58 ST', 'OCEAN AV/QUENTIN RD', 'E 66 ST / DAKOTA PL', 'FILLMORE AV / RYDER ST', '56 DR / E 66 ST', 'AV T / MILL AV', 'FILLMORE AV / E 32 ST', 'FILLMORE AV / E 51 ST', '56 DR / E 63 ST', 'FILLMORE AV / FLATBUSH AV', 'FLATBUSH AV/NOSTRAND AV', 'FILLMORE AV / COLEMAN ST', 'FILLMORE AV / GERRITSEN AV', 'E 66 ST / STRICKLAND AV', 'FILLMORE AV / MARINE PKY', 'E 66 ST / OHIO WALK', 'FILLMORE AV / E 57 ST', 'E 16 ST / KINGS HWY', 'QUENTIN RD / BEDFORD AV', 'FILLMORE AV / E 53 ST', 'E 66 ST / MAYFAIR DR N', 'FILLMORE AV / BURNETT ST']",31
B103,0,,,,LIMITED CANARSIE - WILLIAMS AVE via AVENUE H via AVENUE M,,,"['AV M / REMSEN AV', 'AV H / NEW YORK AV', 'E 80 ST / FLATLANDS AV', 'AV H/E 56 ST', 'LIVINGSTON ST/HOYT ST', 'AV M / E 98 ST', 'LIVINGSTON ST/NEVINS ST', 'E 105 ST / AV L', 'ADAMS ST / JOHNSON ST', '4 AV/WARREN ST', 'CORTELYOU RD / E 18 ST', 'AV M / CANARSIE RD', 'E 105 ST / AV K', 'CHURCH AV/E 3 ST', 'AV H/UTICA AV', 'AV H / E 39 ST', 'FLATBUSH AV/FOSTER AV', 'GLENWOOD RD / E 80 ST', 'AV M / E 85 ST', '4 AV/10 ST', 'AV M / E 105 ST', 'CHURCH AV/OCEAN PY', 'E 80 ST / PAERDEGAT 4 ST', 'CORTELYOU RD / WESTMINSTER RD', 'LIVINGSTON ST/SMITH ST', 'FLATBUSH AV/NOSTRAND AV', 'MC DONALD AV/CATON AV', 'TILLARY ST/CADMAN PZ E', 'CONEY ISLAND AV/BEVERLEY RD', 'AV M / E 102 ST', 'E 105 ST / AV J', 'E 80 ST/PAERDEGAT 7 ST', '4 AV/PACIFIC ST', 'AV M / E 80 ST', 'FLATLANDS AV/WILLIAMS AV', 'WILLIAMS AV / FLATLANDS AV', 'FLATLANDS AV/E 105 ST', '4 AV/4 ST', 'AV H/E 45 ST']",39
B103,1,,,,LIMITED DOWNTOWN BKLYN - TILLARY ST via AVENUE M via AVENUE H,40.696106,-73.990364,"['CORTELYOU RD / STRATFORD ROAD', 'AV M / REMSEN AV', 'CHURCH AV/E 7 ST', 'E 80 ST / FLATLANDS AV', 'AV H/E 56 ST', 'AV H/SCHENECTADY AV', 'LIVINGSTON ST/HOYT ST', 'LIVINGSTON ST/NEVINS ST', 'E 105 ST / AV L', 'E 105 ST / AV K', 'LIVINGSTON ST/BOND ST', 'AV H / E 38 ST', 'CADMAN PLZ W/MONTAGUE ST', 'AV H/UTICA AV', 'E 105 ST / FLATLANDS AV', 'AV M / ROCKAWAY PKY', '3 AV/BALTIC ST', 'FLATBUSH AV/FOSTER AV', 'GLENWOOD RD / E 80 ST', '3 AV / STATE ST', 'AV M / E 85 ST', 'JORALEMON ST/COURT ST', 'E 105 ST / AV M', 'CORTELYOU RD / E 19 ST', 'FLATBUSH AV/E 31 ST', 'LIVINGSTON ST/SMITH ST', 'FLATBUSH AV/NOSTRAND AV', 'E 80 ST / AV L', 'TILLARY ST/CADMAN PZ E', 'CONEY ISLAND AV/BEVERLEY RD', 'AV M / E 102 ST', 'E 105 ST / AV J', 'E 80 ST / AV K', 'AV M / E 93 ST', 'AV M / E 80 ST', 'FLATLANDS AV/WILLIAMS AV', '3 AV/8 ST', 'GLENWOOD RD/RALPH AV', 'AV H/E 45 ST', '3 AV/3 ST']",40
B11,0,58 ST/1 Av,40.64542,-74.023201,MIDWOOD FLATBUSH AV,40.632011,-73.947723,"['58 ST/1 Av', '50 ST/FT HAMILTON PY', '50 ST/19 AV', '50 ST/7 AV', 'NOSTRAND AV / AV H', '50 ST/17 AV', 'AV J/E 16 ST', '50 ST/NEW UTRECHT AV', 'BEDFORD AV/CAMPUS RD', '50 ST/15 AV', '2 AV/56 ST', '50 ST/4 AV', '50 ST/10 AV', 'AV I/MC DONALD AV', '50 ST/14 AV', '50 ST/9 AV', '50 ST/18 AV', '50 ST/11 AV', '50 ST/5 AV', 'AV J/E 22 ST', 'AV I/E 9 ST', 'FLATBUSH AV/E 31 ST', '50 ST/8 AV', '52 ST/2 AV', 'BEDFORD AV/AV J', '50 ST/20 AV', '50 ST/13 AV', 'BEDFORD AV/AV I', '50 ST/6 AV', 'AV I/E 3 ST', 'AV J/E 18 ST', 'AV I/E 7 ST', '50 ST/16 AV', 'GLENWOOD RD/FLATBUSH AV', 'CONEY ISLAND AV/AV I', '52 ST/4 AV', '52 ST/3 AV', 'AV J/CONEY ISLAND AV', 'GLENWOOD RD/BEDFORD AV', 'AV I/OCEAN PY', 'AV J/OCEAN AV']",41
B11,1,FLATBUSH AV/E 31 ST,40.631992,-73.946701,SUNSET PARK 1 AV - 58 ST,40.645618,-74.023521,"['55 ST/4 AV', '58 ST/1 Av', '49 ST/6 AV', '49 ST/14 AV', '49 ST/16 AV', 'AV I/MC DONALD AV', '49 ST/NEW UTRECHT AV', 'AV J/E 23 ST', '58 ST/1 AV', 'AV J/E 15 ST', '49 ST/4 AV', '49 ST/11 AV', '53 ST/2 AV', 'AV I/E 9 ST', '49 ST/5 AV', 'BEDFORD AV/GLENWOOD RD', 'FLATBUSH AV/E 31 ST', '1 AV / 56 ST', '49 ST/8 AV', 'AV J/OCEAN AV', '49 ST/15 AV', '49 ST/17 AV', 'BEDFORD AV/AV J', '55 ST/3 AV', '18 AV/47 ST', '53 ST/1 AV', 'BEDFORD AV/AV I', '49 ST/18 AV', '49 ST/13 AV', 'BEDFORD AV/CAMPUS ROAD', 'AV I/E 3 ST', '4 AV/53 ST', 'AV J/E 18 ST', 'AV I/E 7 ST', 'GLENWOOD RD/FLATBUSH AV', '55 ST/2 AV', 'GLENWOOD RD/AMERSFORT PL', 'AV I/CONEY ISLAND AV', '49 ST/10 AV', 'PARKVILLE AV/MCDONALD AV', 'AV J/CONEY ISLAND AV', '49 ST/9 AV', 'AV I/OCEAN PY', '49 ST/7 AV']",44
B12,0,PARKSIDE AV/OCEAN AV,40.654888,-73.961723,EAST NY ALABAMA AV,40.676819,-73.899658,"['CLARKSON AV/NOSTRAND AV', 'EAST NEW YORK AV/ALBANY AV', 'FULTON ST/ALABAMA AV', 'CLARKSON AV/BEDFORD AV', 'ST JOHNS PL/RALPH AV', 'EAST NEW YORK AV/UNION ST', 'ALBANY AV/CLARKSON AV', 'ALBANY AV/MAPLE ST', 'CLARKSON AV/E 38 ST', 'EAST NEW YORK AV/JUNIUS ST', 'ALBANY AV/RUTLAND RD', 'PARKSIDE AV/BEDFORD AV', 'EAST NEW YORK AV/BRISTOL ST', 'EAST NEW YORK AV/E 96 ST', 'ALABAMA AV / FULTON ST', 'EAST NEW YORK AV/SACKMAN ST', 'ALBANY AV/WINTHROP ST', 'CLARKSON AV/KINGS CNTY HOS MAIN', 'PITKIN AV/HOWARD AV', 'EAST NEW YORK AV/ROCKAWAY AV', 'LEFFERTS AV/SCHENECTADY AV', 'ALBANY AV/HAWTHORNE ST', 'SARATOGA AV/PITKIN AV', 'EAST NEW YORK AV/E 94 ST', 'PARKSIDE AV/FLATBUSH AV', 'EAST NEW YORK AV/RALPH AV', 'CLARKSON AV/NEW YORK AV', 'EAST NEW YORK AV/AMBOY ST', 'EAST NEW YORK AV/E 92 ST', 'EAST NEW YORK AV/STRAUSS ST', 'GATEWAY CTR TERM/GATEWAY DR', 'EMPIRE BL/UTICA AV', 'PARKSIDE AV/OCEAN AV', 'TROY AV/EAST NEW YORK AV', 'EAST NEW YORK AV/MOTHER GASTON BL', 'EAST NEW YORK AV/ROCKAWAY PY', 'CLARKSON AV/ROGERS AV']",37
B12,1,ALABAMA AV / FULTON ST,40.676746,-73.89994,LEFFRTS GDNS OCEAN AV,40.65485,-73.961754,"['CLARKSON AV/NOSTRAND AV', 'CLARKSON AV/BEDFORD AV', 'WOODRUFF AV/OCEAN AV', 'EAST NEW YORK AV/STERLING PL', 'NEW YORK AV/LINCOLN PL', 'EAST NEW YORK AV/TROY AV', 'ALABAMA AV / FULTON ST', 'EAST NEW YORK AV/E 96 ST', 'EAST NEW YORK AV/ST MARKS AV', 'SCHENECTADY AV/LEFFERTS AV', 'EAST NEW YORK AV/MONTGOMERY ST', 'ALBANY AV/WINTHROP ST', 'CLARKSON AV/KINGS CNTY HOS MAIN', 'EAST NEW YORK AV/ROCKAWAY AV', 'EAST NEW YORK AV/SARATOGA AV', 'ALBANY AV/FENIMORE ST', 'ALBANY AV/MIDWOOD ST', 'PACIFIC ST/EAST NEW YORK AV', 'CLARKSON AV/FLATBUSH AV', 'EAST NEW YORK AV/RALPH AV', 'CLARKSON AV/NEW YORK AV', 'EAST NEW YORK AV/E 95 ST', 'PARKSIDE AV/OCEAN AV', 'SACKMAN ST/DEAN ST', 'EMPIRE BL/UTICA AV', 'EAST NEW YORK AV/PORTAL ST', 'EAST NEW YORK AV/MOTHER GASTON BL', 'CLARKSON AV/ALBANY AV', 'CLARKSON AV/E 39 ST', 'ALBANY AV/EAST NEW YORK AV', 'CLARKSON AV/ROGERS AV']",31
